# machine: mac-mini Darwin 24.6.0 arm64
name,unit,iters,ops,total_sec,min_iter_ms,per_iter_ms,per_op_us,ops_per_sec
parse_lines,lines,10,19090,0.008850,0.671000,0.8850,0.4636,2157062
feed_examples,lines,10,19090,0.045663,3.893000,4.5663,2.3920,418063
flatten_examples,flattens,10,320,3.126859,189.527000,312.6859,9771.4344,102
flat_cost_query,sweeps,10,320,0.046144,3.045000,4.6144,144.2000,6935
source_scope_query,sweeps,10,80,0.006965,0.307000,0.6965,87.0625,11486
source_scope_churn,rebuilds,10,2000,0.049021,2.609000,4.9021,24.5105,40799
spike_flatten_largest,flattens,10,10000,58.342836,5535.881000,5834.2836,5834.2836,171
replay_examples,steps,10,403170,0.876199,69.006000,87.6199,2.1733,460135
replay_long,steps,10,40840,0.104044,8.731000,10.4044,2.5476,392526
replay_focus,calls,10,2000,0.000008,0.000000,0.0008,0.0040,249998096
replay_anchor,calls,10,2000,0.000007,0.000000,0.0007,0.0035,285721614
fade_batches,calls,10,2000,0.722939,62.070000,72.2939,361.4695,2766
