# machine: mac-mini Darwin 24.6.0 arm64
name,unit,iters,ops,total_sec,min_iter_ms,per_iter_ms,per_op_us,ops_per_sec
parse_lines,lines,5,12020,0.003913,0.678000,0.7826,0.3255,3071812
feed_examples,lines,5,12020,0.025066,4.834000,5.0132,2.0854,479534
flatten_examples,flattens,5,160,0.893248,174.316000,178.6496,5582.8000,179
flatten_grass,flattens,5,80,0.434106,61.028999,86.8212,5426.3250,184
flatten_orrery,flattens,5,80,0.356556,70.724000,71.3112,4456.9500,224
# flatten_corpus_00 = Lit cube (flat_cmds=43)
flatten_corpus_00,flattens,5,40,0.000393,0.076000,0.0786,9.8250,101781
# flatten_corpus_01 = Rotating cube (flat_cmds=9)
flatten_corpus_01,flattens,5,40,0.000082,0.015000,0.0164,2.0500,487801
# flatten_corpus_02 = Animated ring (for + t) (flat_cmds=227)
flatten_corpus_02,flattens,5,40,0.005723,1.102000,1.1446,143.0750,6989
# flatten_corpus_03 = Conditional colors (if + t) (flat_cmds=14)
flatten_corpus_03,flattens,5,40,0.000172,0.034000,0.0344,4.3000,232558
# flatten_corpus_04 = Transform stress (translate/rotate/scale guides) (flat_cmds=118)
flatten_corpus_04,flattens,5,40,0.001106,0.218000,0.2212,27.6500,36166
# flatten_corpus_05 = Parametric torus (nested for) (flat_cmds=3825)
flatten_corpus_05,flattens,5,40,0.098787,19.550000,19.7574,2469.6750,405
# flatten_corpus_06 = Animated wave surface (analytic normals) (flat_cmds=3639)
flatten_corpus_06,flattens,5,40,0.126587,25.169000,25.3174,3164.6750,316
# flatten_corpus_07 = Torus knot (animated) (flat_cmds=3207)
flatten_corpus_07,flattens,5,40,0.073236,14.267000,14.6472,1830.9000,546
# flatten_corpus_08 = 2D assignment sketch (vars only) (flat_cmds=197)
flatten_corpus_08,flattens,5,40,0.004346,0.797000,0.8692,108.6500,9204
# flatten_corpus_09 = Function demo (named func) (flat_cmds=25)
flatten_corpus_09,flattens,5,40,0.000231,0.043000,0.0462,5.7750,173160
# flatten_corpus_10 = Function polygons (args + for) (flat_cmds=70)
