date,release,asset,downloads
2026-08-31,v0.1,gl-repl-v0.1-linux-x86_64.tar.gz,2
2026-08-31,v0.1,gl-repl-v0.1-macos.zip,3
2026-08-31,assets-v1,01.-.Flat-Shaded.Feelings.mp3,19
2026-08-31,assets-v1,02.-.Polygon.Soup.mp3,17
2026-08-31,assets-v1,03.-.Gouraud.Dawn.mp3,17
2026-08-31,assets-v1,04.-.Texture.Combiner.Tension.mp3,17
2026-08-31,assets-v1,05.-.glBegin.LOVE.mp3,17
2026-08-31,assets-v1,06.-.Fixed.Function.Forever.mp3,16
2026-08-31,assets-v1,07.-.Scanline.Serenade.mp3,16
2026-08-31,assets-v1,08.-.The.Quiet.Mainframe.mp3,16
2026-08-31,assets-v1,09.-.VRAM.Velvet.mp3,16
2026-08-31,assets-v1,10.-.Z-Fighting.at.Midnight.mp3,16
2026-08-31,assets-v1,11.-.Double.Buffer.Flow.mp3,16
2026-08-31,assets-v1,12.-.Dither.Me.This.mp3,16
2026-08-31,assets-v1,13.-.Accumulation.Blur.mp3,17
2026-08-31,assets-v1,14.-.Grid.Quiet.mp3,16
2026-08-31,assets-v1,15.-.Scanline.Mirage.mp3,16
2026-08-31,assets-v1,16.-.Sub-Pixel.mp3,16
2026-08-31,assets-v1,17.-.Gouraud.Twilight.mp3,16
2026-08-31,assets-v1,18.-.The.Last.Backbuffer.mp3,16
2026-09-01,v0.1.1,gl-repl-v0.1.1-linux-x86_64.tar.gz,0
2026-09-01,v0.1.1,gl-repl-v0.1.1-macos.zip,0
2026-09-01,v0.1,gl-repl-v0.1-linux-x86_64.tar.gz,2
2026-09-01,v0.1,gl-repl-v0.1-macos.zip,3
2026-09-01,assets-v1,01.-.Flat-Shaded.Feelings.mp3,22
2026-09-01,assets-v1,02.-.Polygon.Soup.mp3,20
2026-09-01,assets-v1,03.-.Gouraud.Dawn.mp3,20
2026-09-01,assets-v1,04.-.Texture.Combiner.Tension.mp3,20
2026-09-01,assets-v1,05.-.glBegin.LOVE.mp3,20
2026-09-01,assets-v1,06.-.Fixed.Function.Forever.mp3,19
2026-09-01,assets-v1,07.-.Scanline.Serenade.mp3,19
2026-09-01,assets-v1,08.-.The.Quiet.Mainframe.mp3,19
2026-09-01,assets-v1,09.-.VRAM.Velvet.mp3,19
2026-09-01,assets-v1,10.-.Z-Fighting.at.Midnight.mp3,19
2026-09-01,assets-v1,11.-.Double.Buffer.Flow.mp3,19
2026-09-01,assets-v1,12.-.Dither.Me.This.mp3,19
2026-09-01,assets-v1,13.-.Accumulation.Blur.mp3,20
2026-09-01,assets-v1,14.-.Grid.Quiet.mp3,19
2026-09-01,assets-v1,15.-.Scanline.Mirage.mp3,19
2026-09-01,assets-v1,16.-.Sub-Pixel.mp3,19
2026-09-01,assets-v1,17.-.Gouraud.Twilight.mp3,19
2026-09-01,assets-v1,18.-.The.Last.Backbuffer.mp3,19
2026-09-02,v0.1.1,gl-repl-v0.1.1-linux-x86_64.tar.gz,0
2026-09-02,v0.1.1,gl-repl-v0.1.1-macos.zip,0
2026-09-02,v0.1,gl-repl-v0.1-linux-x86_64.tar.gz,2
2026-09-02,v0.1,gl-repl-v0.1-macos.zip,3
2026-09-02,assets-v1,01.-.Flat-Shaded.Feelings.mp3,26
2026-09-02,assets-v1,02.-.Polygon.Soup.mp3,24
2026-09-02,assets-v1,03.-.Gouraud.Dawn.mp3,24
2026-09-02,assets-v1,04.-.Texture.Combiner.Tension.mp3,24
2026-09-02,assets-v1,05.-.glBegin.LOVE.mp3,24
2026-09-02,assets-v1,06.-.Fixed.Function.Forever.mp3,23
2026-09-02,assets-v1,07.-.Scanline.Serenade.mp3,23
2026-09-02,assets-v1,08.-.The.Quiet.Mainframe.mp3,23
2026-09-02,assets-v1,09.-.VRAM.Velvet.mp3,23
2026-09-02,assets-v1,10.-.Z-Fighting.at.Midnight.mp3,23
2026-09-02,assets-v1,11.-.Double.Buffer.Flow.mp3,23
2026-09-02,assets-v1,12.-.Dither.Me.This.mp3,23
2026-09-02,assets-v1,13.-.Accumulation.Blur.mp3,24
2026-09-02,assets-v1,14.-.Grid.Quiet.mp3,23
2026-09-02,assets-v1,15.-.Scanline.Mirage.mp3,23
2026-09-02,assets-v1,16.-.Sub-Pixel.mp3,23
2026-09-02,assets-v1,17.-.Gouraud.Twilight.mp3,23
2026-09-02,assets-v1,18.-.The.Last.Backbuffer.mp3,23
